team,wins,losses
Cleveland Cavaliers,15,0
Boston Celtics,11,3
Orlando Magic,9,6
New York Knicks,8,6
Atlanta Hawks,7,8
Miami Heat,6,7
Detroit Pistons,7,9
Indiana Pacers,6,8
Chicago Bulls,6,9
Charlotte Hornets,5,8
Milwaukee Bucks,5,9
Brooklyn Nets,5,9
Toronto Raptors,3,12
Washington Wizards,2,11
Philadelphia 76ers,2,11
Oklahoma City Thunder,11,3
Golden State Warriors,10,3
Los Angeles Lakers,9,4
Houston Rockets,10,5
Phoenix Suns,9,6
Denver Nuggets,7,5
Minnesota Timberwolves,8,6
Memphis Grizzlies,8,6
Sacramento Kings,8,7
Los Angeles Clippers,8,7
Dallas Mavericks,7,7
Portland Trail Blazers,6,8
San Antonio Spurs,6,8
New Orleans Pelicans,4,10
Utah Jazz,3,10
